Plant Type,pop.id,mf,rep,unique.ID,Total_N,Planted_N,Priority,Indiv_N,date.collected
F2,(LV1 x WL2) x (SQ3 x WL2),NA,17,1122,0,2,High,NA,7/3/24
F2,(YO11 x WL2) x WL2,NA,2,1312,0,6,High,NA,7/11/24
F1,WL2 x YO11,NA,25,980,0,8,High,NA,7/3/24
F1,WL2 x YO11,NA,29,984,0,8,High,NA,7/3/24
F1,WL2 x DPR,NA,8,868,0,9,High,NA,7/10/24
F1,WL2 x DPR,NA,30,890,0,9,High,NA,7/3/24
F1,SQ3 x WL2,NA,7,581,0,11,High,NA,6/20/24
F1,SQ3 x WL2,NA,11,585,0,11,High,NA,6/20/24
F2,(WV x WL2) x WV,NA,3,1333,0,13,High,NA,7/3/24
F2,(WV x WL2) x WV,NA,8,1338,0,13,High,NA,7/3/24
F2,(WV x WL2) x WV,NA,19,1349,0,13,High,NA,7/3/24
Main_Parent,WL2-10,10,1,155,0,14,High,NA,7/3/24
Main_Parent,WL2-10,10,7,161,0,14,High,NA,6/27/24
Main_Parent,WL2-10,10,11,165,0,14,High,NA,7/3/24
Other_Parent,WL1,7,2,354,0,21,High,NA,7/3/24
Other_Parent,WL1,7,5,357,0,21,High,NA,7/3/24
F2,WV x (WV x WL2),NA,6,1091,0,35,High,NA,7/11/24
F2,WV x (WV x WL2),NA,9,1094,0,35,High,NA,6/27/24
F2,WV x (WV x WL2),NA,11,1096,0,35,High,NA,6/27/24
F2,WV x (WV x WL2),NA,19,1104,0,35,High,NA,7/3/24
F2,WV x (WV x WL2),NA,2,2030,0,35,High,NA,7/3/24
F2,WV x (WV x WL2),NA,3,2031,0,35,High,NA,7/2/24
F2,WV x (WV x WL2),NA,10,2038,0,35,High,NA,7/3/24
F2,(SQ3 x WL2) x WL2,NA,14,1185,1,3,High,NA,6/27/24
Main_Parent,WL2-1,1,6,104,1,14,High,NA,6/14/24
Main_Parent,WL2-1,1,12,110,1,14,High,NA,6/28/24
Main_Parent,WL2-8,8,1,127,1,14,High,NA,6/27/24
Main_Parent,WL2-8,8,3,129,1,14,High,NA,7/3/24
Main_Parent,WL2-8,8,7,133,1,14,High,NA,6/13/24
Main_Parent,WL2-8,8,8,134,1,14,High,NA,6/28/24
Main_Parent,WL2-8,8,10,136,1,14,High,NA,7/3/24
Main_Parent,WL2-11,11,9,177,1,14,High,NA,6/6/24
F1,LV1 x WL2,NA,1,515,1,23,High,NA,7/11/24
F1,LV1 x WL2,NA,19,533,1,23,High,NA,7/3/24
F1,LV1 x WL2,NA,20,534,1,23,High,NA,6/27/24
F2,DPR x (WL2 x DPR),NA,3,1132,2,4,High,NA,6/20/24
F1,WL2 x CC,NA,11,820,2,5,High,NA,7/11/24
F1,WL2 x CC,NA,18,827,2,5,High,NA,7/3/24
F1,WL2 x CC,NA,20,829,2,5,High,NA,7/11/24
F2,(TM2 x WL2) x (TM2 x BH),NA,4,1255,2,9,High,NA,6/13/24
F2,(TM2 x WL2) x (TM2 x BH),NA,5,1256,2,9,High,NA,7/11/24
F2,(TM2 x WL2) x (TM2 x BH),NA,6,1257,2,9,High,NA,7/3/24
F2,(TM2 x WL2) x (TM2 x BH),NA,7,1258,2,9,High,NA,7/11/24
F2,(TM2 x WL2) x (TM2 x BH),NA,10,1261,2,9,High,NA,7/11/24
F2,(TM2 x WL2) x (TM2 x BH),NA,11,1262,2,9,High,NA,7/3/24
F1,WL1 x WL2,NA,27,857,2,24,High,NA,6/27/24
